id,subject,predicate,object_entity,epistemic_score,temporal_anchor,spatial_anchor,quote_context,valid_from,valid_until,created_at
143,Iran,HAS_GOVERNMENT,Theocratic Islamic Republic,0.95,2026-03-16,"","'Iran's government is a theocratic Islamic republic governed by elected and unelected institutions, with ultimate authority vested in the supreme leader.'",,,2026-03-16 19:06:06.752027+00
144,Iran,HAS_ECONOMY,Centrally Planned Economy,0.95,2026-03-16,"","'Iran maintains a centrally planned economy with significant state ownership in key sectors, though private enterprise exists alongside this.'",,,2026-03-16 19:06:06.752027+00
142,Alexander the Great,CONQUERED,Achaemenid Empire,0.9299999999999999,4th century BC,"",'Alexander the Great conquered the empire in the 4th century BC.',,,2026-03-16 19:06:06.752027+00
146,Iran,HAS_NUCLEAR_PROGRAM,Nuclear Program,0.9299999999999999,2026-03-16,"","'Iran is a threshold state with one of the most scrutinized nuclear programs, which it claims is solely for civilian purposes; however, the IAEA, a United Nations (UN) agency tasked with monitoring the production of nuclear weapons, has on two occasions found Iran to be non-compliant with its safeguards obligations.'",,,2026-03-16 19:06:06.752027+00
147,Mojtaba Khamenei,BECAME_SUPREME_LEADER_OF,Iran,0.95,March 2026,"","'Mojtaba Khamenei became the country's new supreme leader in March 2026 following the assassination of his father, Ali Khamenei, in those strikes.'",,,2026-03-16 19:06:06.752027+00
148,Kenya,IS_LOCATED_IN,East Africa,0.95,"",East Africa,"Kenya, officially the Republic of Kenya, is a country located in East Africa.",,,2026-03-16 19:06:33.269809+00
159,Cushitic speakers,SETTLED_IN,Kenya,0.95,"3,200-1,300 BC",lowlands,"Cushitic speakers first settled in the region's lowlands between 3,200 and 1,300 BC",,,2026-03-16 19:06:33.269809+00
160,Nilotic-speaking pastoralists,MIGRATED_TO,Kenya,0.95,around 500 BC,from South Sudan,Nilotic-speaking pastoralists (ancestral to Kenya's Nilotic speakers) began migrating from present-day South Sudan into Kenya around 500 BC,,,2026-03-16 19:06:33.269809+00
163,British Empire,ESTABLISHED,Kenya Colony,0.95,1920,Kenya,"Modern-day Kenya emerged from a protectorate, established by the British Empire in 1895, and the subsequent Kenya Colony, which began in 1920",,,2026-03-16 19:06:33.269809+00
161,Bantu people,SETTLED_IN,Kenya,0.95,250 BC-500 AD,coast and interior,Bantu people settled at the coast and the interior between 250 BC and 500 AD,,,2026-03-16 19:06:33.269809+00
162,European contact,BEGAN_IN,Kenya,0.95,1500 AD,"",European contact began in 1500 AD with the Portuguese Empire,,,2026-03-16 19:06:33.269809+00
164,Mau Mau revolution,BEGAN_IN,Kenya,0.95,1952,"","Numerous disputes between the UK and the colony led to the Mau Mau revolution, which began in 1952",,,2026-03-16 19:06:33.269809+00
166,Kenya,IS_MEMBER_OF,United Nations,0.95,"","",The country is a member of the United Nations,,,2026-03-16 19:06:33.269809+00
165,Kenya,IS_MEMBER_OF,Commonwealth of Nations,0.95,"","","After independence, Kenya remained a member of the Commonwealth of Nations",,,2026-03-16 19:06:33.269809+00
167,Kenya,IS_MEMBER_OF,World Bank,0.95,"","",The country is a member of ... the World Bank,,,2026-03-16 19:06:33.269809+00
168,Kenya,IS_MEMBER_OF,International Monetary Fund,0.95,"","",The country is a member of ... the International Monetary Fund,,,2026-03-16 19:06:33.269809+00
155,Kenya,BORDERED_BY,Indian Ocean,0.95,"",southeast,"Going clockwise, Kenya is bordered by ... the Indian Ocean to the southeast",,,2026-03-16 19:06:33.269809+00
176,Tea,IS_TRADITIONAL_CASH_CROP_IN,Kenya,0.95,"","",tea and coffee are the sector's traditional cash crops,,,2026-03-16 19:06:33.269809+00
177,Coffee,IS_TRADITIONAL_CASH_CROP_IN,Kenya,0.95,"","",tea and coffee are the sector's traditional cash crops,,,2026-03-16 19:06:33.269809+00
179,Tourism,IS_MAJOR_ECONOMIC_DRIVER_IN,Kenya,0.95,"","","The service industry, particularly tourism, is also one of the country's major economic drivers",,,2026-03-16 19:06:33.269809+00
182,European Union,IS_SECOND_LARGEST_EXPORT_MARKET_FOR,Kenya,0.95,"","",followed by the European Union,,,2026-03-16 19:06:33.269809+00
178,Fresh flowers,ARE_FAST_GROWING_EXPORT_IN,Kenya,0.95,"","",while fresh flowers are a fast-growing export,,,2026-03-16 19:06:33.269809+00
181,Africa,IS_LARGEST_EXPORT_MARKET_FOR,Kenya,0.95,"","",Africa is Kenya's largest export market,,,2026-03-16 19:06:33.269809+00
180,Kenya,IS_MEMBER_OF,East African Community,0.95,"","",Kenya is a member of the East African Community trade bloc,,,2026-03-16 19:06:33.269809+00
184,Ukraine,BORDERS,Russia,0.97,"",east and northeast,"It is the second-largest country in Europe after Russia, which borders it to the east and northeast.",,,2026-03-16 19:07:05.253404+00
186,Ukraine,BORDERS,Poland,0.97,"",west,Ukraine also borders Belarus to the north; Poland and Slovakia to the west;,,,2026-03-16 19:07:05.253404+00
188,Ukraine,BORDERS,Hungary,0.97,"",southwest,"Hungary, Romania and Moldova to the southwest;",,,2026-03-16 19:07:05.253404+00
187,Ukraine,BORDERS,Slovakia,0.97,"",west,Ukraine also borders Belarus to the north; Poland and Slovakia to the west;,,,2026-03-16 19:07:05.253404+00
189,Ukraine,BORDERS,Romania,0.97,"",southwest,"Hungary, Romania and Moldova to the southwest;",,,2026-03-16 19:07:05.253404+00
183,Ukraine,IS_LOCATED_IN,Eastern Europe,0.97,"",Eastern Europe,Ukraine is a country in Eastern Europe.,,,2026-03-16 19:07:05.253404+00
172,Kenya,IS_MAJOR_NON_NATO_ALLY_OF,United States,0.95,"","",It is also a major non-NATO ally of the United States,,,2026-03-16 19:06:33.269809+00
196,Ukrainian People's Republic,WAS_FORMED,1917,0.97,1917,Ukraine,"following the Russian Revolution in 1917, the short-lived Ukrainian People's Republic was formed.",,,2026-03-16 19:07:05.253404+00
198,Ukraine,GAINED_INDEPENDENCE,1991,0.97,1991,Ukraine,"Ukraine gained independence in 1991 as the Soviet Union dissolved,",,,2026-03-16 19:07:05.253404+00
199,Ukraine,DECLARED,neutral,0.97,1991,Ukraine,"Ukraine gained independence in 1991 as the Soviet Union dissolved, declaring itself neutral.",,,2026-03-16 19:07:05.253404+00
200,Ukraine,ADOPTED,new constitution,0.97,1996,Ukraine,A new constitution was adopted in 1996 as the country transitioned to a free market liberal democracy,,,2026-03-16 19:07:05.253404+00
203,Russia,OCCUPIED,Crimean Peninsula,0.97,2014,Crimean Peninsula,"at the end of which Russia unilaterally occupied and annexed Ukraine's Crimean Peninsula,",,,2026-03-16 19:07:05.253404+00
204,Russia,ANNEXED,Crimean Peninsula,0.97,2014,Crimean Peninsula,"at the end of which Russia unilaterally occupied and annexed Ukraine's Crimean Peninsula,",,,2026-03-16 19:07:05.253404+00
201,Orange Revolution,OCCURRED,2004-2005,0.97,2004-2005,Ukraine,The Orange Revolution of 2004–2005 ushered electoral and constitutional reforms.,,,2026-03-16 19:07:05.253404+00
205,Russia,INVADED,Ukraine,0.97,2022,Ukraine,The 2022 Russian invasion of Ukraine began the current phase of the war.,,,2026-03-16 19:07:05.253404+00
202,Euromaidan,OCCURRED,2014,0.97,2014,Ukraine,"Resurgent political crises prompted a series of mass demonstrations in 2014 known as the Euromaidan,",,,2026-03-16 19:07:05.253404+00
206,Ukraine,IS,unitary state,0.97,"",Ukraine,Ukraine is a unitary state and its system of government is a semi-presidential republic.,,,2026-03-16 19:07:05.253404+00
207,Ukraine,HAS_SYSTEM_OF_GOVERNMENT,semi-presidential republic,0.97,"",Ukraine,Ukraine is a unitary state and its system of government is a semi-presidential republic.,,,2026-03-16 19:07:05.253404+00
208,Ukraine,HAS_ECONOMY,transition economy,0.97,"",Ukraine,Ukraine has a transition economy and has the lowest nominal GDP per capita in Europe as of 2024.,,,2026-03-16 19:07:05.253404+00
486,Belgium,BORDERED_BY,Germany,0.95,2026-03-16,East,'it is bordered by ... Germany to the east',,,2026-03-16 19:19:55.005088+00
2528,Lebanon,WAS_OCCUPIED_BY,Israel,0.95,1985-2000,"",'and Israel from 1985 to 2000.',,,2026-03-16 20:57:22.318221+00
2980,Qatar,RANKS,42nd in Human Development Index,0.95,"",Arab world,"'It ranks 42nd in the Human Development Index, the third-highest HDI in the Arab world'",,,2026-03-16 21:12:23.461772+00
2981,Qatar,HAS_ECONOMY,high-income economy,0.95,"","","'It is a high-income economy, backed by the world's third-largest natural gas reserves and oil reserves'",,,2026-03-16 21:12:23.461772+00
2983,Qatar,HAS_GDP,fourth-highest GDP (PPP) per capita,0.95,"",world,'The country has the fourth-highest GDP (PPP) per capita in the world',,,2026-03-16 21:12:23.461772+00
2982,Qatar,EMERGED_AS,major non-NATO ally of the United States,0.95,21st century,"","'In the 21st century, Qatar emerged as both a major non-NATO ally of the United States'",,,2026-03-16 21:12:23.461772+00
3180,Narges Mohammadi,WORKED_WITH,Shirin Ebadi,0.97,"","","'headed by her fellow Nobel Peace Prize laureate, Shirin Ebadi'",,,2026-03-16 21:19:09.482737+00
3181,Narges Mohammadi,SENTENCED_TO,16 years imprisonment,0.97,May 2016,Tehran,'sentenced in Tehran to 16 years' imprisonment',,,2026-03-16 21:19:09.482737+00
2,United Kingdom,COMPRISING,"England, Scotland, Wales, Northern Ireland",0.7801029995663982,"","","'It comprises England, Scotland, Wales and Northern Ireland'",,,2026-03-16 19:03:16.670205+00
3,United Kingdom,HAS_POPULATION,69 million,0.7801029995663982,2024,"",'a population of over 69 million in 2024',,,2026-03-16 19:03:16.670205+00
7,United Kingdom,BECAME,First Industrialised Country,0.7801029995663982,19th century,"",'The UK became the first industrialised country',,,2026-03-16 19:03:16.670205+00
11,Elon Musk,EMIGRATED_TO,Canada,0.7801029995663982,1989,Canada,"Born into a wealthy family in Pretoria, South Africa, Musk emigrated in 1989 to Canada",,,2026-03-16 19:03:26.595916+00
22,Elon Musk,ACQUIRED,Twitter,0.95,2022,"","In 2022, he acquired the social network Twitter",,,2026-03-16 19:03:26.595916+00
23,Elon Musk,REBRANDED,Twitter,0.95,2023,"","implementing significant changes, and rebranding it as X in 2023",,,2026-03-16 19:03:26.595916+00
24,Elon Musk,SUPPORTED,Donald Trump,0.95,2024,United States,"Musk was the largest donor in the 2024 U.S. presidential election, where he supported Donald Trump",,,2026-03-16 19:03:26.595916+00
1244,Cocos Islands,COMPRISING,27 coral islands,0.9299999999999999,"","",'comprising a small archipelago approximately midway between Australia and Sri Lanka',,,2026-03-16 19:47:34.284984+00
1245,Cocos Islands,ADMINISTERED_BY,Australian federal government,0.95,"","","'administered by the Australian federal government's Department of Infrastructure, Transport, Regional Development, Communications and the Arts'",,,2026-03-16 19:47:34.284984+00
1248,Cocos Islands,ANNEXED_BY,British,0.95,1857,"",'The British annexed the islands in 1857',,,2026-03-16 19:47:34.284984+00
45,France,SHARES_BORDER_WITH,Luxembourg,0.95,"",Metropolitan France,'Metropolitan France shares borders with Belgium and Luxembourg to the north;',,,2026-03-16 19:04:31.235776+00
47,France,SHARES_BORDER_WITH,Switzerland,0.95,"",Metropolitan France,'Switzerland to the east;',,,2026-03-16 19:04:31.235776+00
63,France,REACHED_ZENITH_UNDER,Napoleon Bonaparte,0.95,early 19th century,"",'France reached its political and military zenith in the early 19th century under Napoleon Bonaparte',,,2026-03-16 19:04:31.235776+00
66,France,WAS_LIBERATED_IN,1944,0.95,1944,"",'Following its liberation in 1944',,,2026-03-16 19:04:31.235776+00
81,Land of Israel,WAS_HOME_TO,ancient Canaanites,0.95,"","","'The Land of Israel, also called Palestine or the Holy Land, was home to the ancient Canaanites and later the kingdoms of Israel and Judah.'",,,2026-03-16 19:05:01.414762+00
85,Israel,INTRODUCED,limited Palestinian self-rule,0.95,1993,West Bank and Gaza,"'The 1993 Oslo Accords introduced limited Palestinian self-rule in the West Bank and Gaza, while the 2020 Abraham Accords normalised ties with more Arab states, but the Israeli–Palestinian conflict persists.'",,,2026-03-16 19:05:01.414762+00
86,Israel,NORMALISED_TIES,Arab states,0.95,2020,"","'The 1993 Oslo Accords introduced limited Palestinian self-rule in the West Bank and Gaza, while the 2020 Abraham Accords normalised ties with more Arab states, but the Israeli–Palestinian conflict persists.'",,,2026-03-16 19:05:01.414762+00
89,Israel,ALLOCATES,larger share of its economy to research and development,0.95,"","","'One of the world's most technologically advanced countries, Israel allocates a larger share of its economy to research and development than any other state and is believed to possess nuclear weapons.'",,,2026-03-16 19:05:01.414762+00
97,Rus',ADOPTED,Orthodox Christianity,0.95,988,"",Rus' adopted Orthodox Christianity from the Byzantine Empire in 988.,,,2026-03-16 19:05:22.939392+00
98,Grand Principality of Moscow,BEGAN_UNIFYING,Russian lands,0.95,late 13th century,"","Following its disintegration, the Grand Principality of Moscow began the process of unifying Russian lands in the late 13th century, leading to the formation of the Tsardom of Russia in 1547.",,,2026-03-16 19:05:22.939392+00
114,India,SHARES_BORDER_WITH,China,0.95,"",North,"'China, Nepal, and Bhutan to the north;'",,,2026-03-16 19:05:46.902192+00
119,India,IS_A,Federal republic,0.95,1950,"","'India has been a federal republic since 1950,'",,,2026-03-16 19:05:46.902192+00
121,India,HAS_NUCLEAR_WEAPONS,Nuclear weapons,0.95,"","",'It is a nuclear-weapon state',,,2026-03-16 19:05:46.902192+00
118,India,HAS_POPULATION_OF,1.4 billion,0.95,2023,"",'India's population grew from 361 million in 1951 to over 1.4 billion in 2023.',,,2026-03-16 19:05:46.902192+00
123,Japan,LOCATED_IN,Pacific Ocean,0.97,"",northeast coast of the Asian mainland,'Located in the Pacific Ocean off the northeast coast of the Asian mainland',,,2026-03-16 19:05:55.083814+00
130,Japan,ANNEXED,Korea,0.97,1910,"",'The country annexed Korea in 1910',,,2026-03-16 19:05:55.083814+00
137,Iran,BORDERS,Iraq,0.95,2026-03-16,West,"'It borders Iraq to the west, Turkey, Azerbaijan, and Armenia to the northwest, the Caspian Sea to the north, Turkmenistan to the northeast, Afghanistan to the east, Pakistan to the southeast, and the Gulf of Oman and the Persian Gulf to the south.'",,,2026-03-16 19:06:06.752027+00
153,Kenya,BORDERED_BY,Ethiopia,0.95,"",north,"Going clockwise, Kenya is bordered by ... Ethiopia to the north",,,2026-03-16 19:06:33.269809+00
154,Kenya,BORDERED_BY,Somalia,0.95,"",east,"Going clockwise, Kenya is bordered by ... Somalia to the east",,,2026-03-16 19:06:33.269809+00
156,Kenya,BORDERED_BY,Tanzania,0.95,"",southwest,"Going clockwise, Kenya is bordered by ... Tanzania to the southwest",,,2026-03-16 19:06:33.269809+00
157,Kenya,BORDERED_BY,Lake Victoria,0.95,"",west,"Going clockwise, Kenya is bordered by ... Lake Victoria and Uganda to the west",,,2026-03-16 19:06:33.269809+00
158,Kenya,BORDERED_BY,Uganda,0.95,"",west,"Going clockwise, Kenya is bordered by ... Lake Victoria and Uganda to the west",,,2026-03-16 19:06:33.269809+00
171,Kenya,IS_MEMBER_OF,International Criminal Court,0.95,"","",The country is a member of ... the International Criminal Court,,,2026-03-16 19:06:33.269809+00
175,Agriculture,IS_LARGEST_ECONOMIC_SECTOR_IN,Kenya,0.95,"","",Agriculture is the country's largest economic sector,,,2026-03-16 19:06:33.269809+00
185,Ukraine,BORDERS,Belarus,0.97,"",north,Ukraine also borders Belarus to the north;,,,2026-03-16 19:07:05.253404+00
192,Ukraine,HAS_OFFICIAL_LANGUAGE,Ukrainian,0.97,"","",The official language of Ukraine is Ukrainian.,,,2026-03-16 19:07:05.253404+00
195,Kievan Rus',BECAME,largest and most powerful realm in Europe,0.97,10th and 11th centuries,Europe,"Kievan Rus' became the largest and most powerful realm in Europe in the 10th and 11th centuries,",,,2026-03-16 19:07:05.253404+00
